c_x,c_y,c_t,a1,b1,c1,a2,c2
6,4,3.5666052299615476,3,3,3,2.927868112568155,4
9,3,3.090189566180401,1,3,4,1.3455915408547234,0
6,9,1.2886063678902842,3,3,3,2.892493397454685,2
3,3,3.480562343768767,3,2,5,1.289401958482094,0
1,3,2.7317293895663046,1,3,2,2.57637996431714,3
2,1,4.69739693145609,2,1,9,2.5116050426510306,1
9,2,3.9005933568035824,1,2,2,1.6811833418127198,1
9,4,2.248107120858631,1,1,5,1.9119572697468934,4
7,6,4.3857958729237865,1,3,5,1.3580767969462193,2
5,1,3.7025982177117878,2,2,5,1.4505331310618805,0
6,9,2.015590628358558,2,2,2,2.3159527425756945,0
6,1,3.4541419016515085,1,2,1,2.3406782230629783,2
8,1,3.9810371771400157,1,1,3,1.7158980958788923,3
5,2,1.5995904396518767,1,1,9,1.764930896694477,1
1,9,3.660424353539174,2,1,2,2.104551058743408,1
3,1,3.739245880202888,1,2,7,0.5533890480676097,0
4,5,1.360629028874826,3,3,1,2.945203650998627,3
8,1,4.573437242559063,3,3,1,2.064208774158792,1
9,8,2.266949381332216,1,3,1,2.884449152471676,2
6,2,4.905289598763107,1,3,8,2.983976039359171,2
8,6,2.143639245229594,3,2,8,2.471735508978218,2
6,5,1.0435031870936413,3,3,4,1.2278453446079947,0
4,9,1.792265644301343,2,3,8,2.3925933909814985,0
5,4,2.1458010263931246,3,1,2,1.6998234797741394,2
1,4,4.928238564891025,3,2,1,0.8413777585342836,2
6,9,3.541662794933754,3,3,6,1.4748439896545125,2
8,5,3.1326449107693275,1,3,4,1.026947131429948,2
1,9,3.3175623349654546,2,2,4,2.4278936805803384,1
9,6,4.163130799058553,3,3,3,2.5898174315452764,4
2,5,4.003205839004212,1,2,4,1.8704465566815016,4
9,9,1.2319294392411289,1,2,8,2.9481179347295954,0
2,5,4.064174026715826,1,3,4,0.7767428764790569,3
2,2,1.7554860793764808,3,2,6,1.5176333838119997,1
2,2,2.1351699200964767,2,3,3,1.463676113524218,1
3,3,3.5303227425870194,2,3,6,2.8196969269984966,4
9,2,1.7703957428239012,1,1,9,2.8332564408832743,3
3,9,4.53015825437533,1,2,2,2.444671830852874,0
5,3,3.1860887024844997,1,2,6,0.6153970826250927,2
9,7,4.114530218820696,1,3,5,1.6793801161696174,0
9,6,4.838394852629646,1,2,9,1.1432548927718398,3
