x,y,t,valor_objetivo,c_x,c_y,c_t,a1,b1,c1,a2,c2
1.0,0.0,6.0,27.39963137976929,6.0,4.0,3.566605229961548,3.0,3.0,3.0,2.927868112568155,4.0
0.0,1.0,7.0,24.631326963262808,9.0,3.0,3.090189566180401,1.0,3.0,4.0,1.3455915408547234,0.0
0.0,1.0,6.0,16.731638207341703,6.0,9.0,1.2886063678902842,3.0,3.0,3.0,2.892493397454685,2.0
1.0,0.0,8.0,30.844498750150137,3.0,3.0,3.480562343768767,3.0,2.0,5.0,1.289401958482094,0.0
0.0,1.0,5.0,16.65864694783152,1.0,3.0,2.7317293895663046,1.0,3.0,2.0,2.57637996431714,3.0
1.0,0.0,11.0,53.671366246016994,2.0,1.0,4.69739693145609,2.0,1.0,9.0,2.5116050426510306,1.0
1.0,0.0,3.0,20.70178007041075,9.0,2.0,3.9005933568035824,1.0,2.0,2.0,1.6811833418127198,1.0
1.0,0.0,6.0,22.488642725151788,9.0,4.0,2.248107120858631,1.0,1.0,5.0,1.9119572697468932,4.0
0.0,1.0,8.0,41.08636698339029,7.0,6.0,4.3857958729237865,1.0,3.0,5.0,1.3580767969462193,2.0
1.0,0.0,7.0,30.918187523982517,5.0,1.0,3.702598217711788,2.0,2.0,5.0,1.4505331310618803,0.0
0.0,1.0,4.0,17.06236251343423,6.0,9.0,2.015590628358558,2.0,2.0,2.0,2.3159527425756945,0.0
1.0,0.0,2.0,12.908283803303018,6.0,1.0,3.4541419016515085,1.0,2.0,1.0,2.3406782230629783,2.0
1.0,0.0,4.0,23.924148708560065,8.0,1.0,3.981037177140016,1.0,1.0,3.0,1.7158980958788923,3.0
1.0,0.0,10.0,20.995904396518767,5.0,2.0,1.5995904396518767,1.0,1.0,9.0,1.764930896694477,1.0
0.0,1.0,3.0,19.98127306061752,1.0,9.0,3.660424353539174,2.0,1.0,2.0,2.104551058743408,1.0
0.0,1.0,9.0,34.65321292182599,3.0,1.0,3.739245880202888,1.0,2.0,7.0,0.5533890480676097,0.0
0.0,1.0,4.0,10.442516115499304,4.0,5.0,1.360629028874826,3.0,3.0,1.0,2.945203650998627,3.0
1.0,0.0,4.0,26.29374897023625,8.0,1.0,4.573437242559063,3.0,3.0,1.0,2.064208774158792,1.0
0.0,1.0,4.0,17.067797525328864,9.0,8.0,2.266949381332216,1.0,3.0,1.0,2.884449152471676,2.0
0.0,1.0,11.0,55.95818558639418,6.0,2.0,4.905289598763107,1.0,3.0,8.0,2.983976039359171,2.0
1.0,0.0,11.0,31.58003169752553,8.0,6.0,2.143639245229594,3.0,2.0,8.0,2.471735508978218,2.0
1.0,0.0,7.0,13.304522309655487,6.0,5.0,1.043503187093641,3.0,3.0,4.0,1.2278453446079949,0.0
0.0,1.0,11.0,28.714922087314772,4.0,9.0,1.792265644301343,2.0,3.0,8.0,2.3925933909814985,0.0
1.0,0.0,5.0,15.729005131965623,5.0,4.0,2.1458010263931246,3.0,1.0,2.0,1.6998234797741394,2.0
1.0,0.0,4.0,20.7129542595641,1.0,4.0,4.928238564891025,3.0,2.0,1.0,0.8413777585342836,2.0
0.0,1.0,9.0,40.87496515440378,6.0,9.0,3.541662794933754,3.0,3.0,6.0,1.4748439896545125,2.0
0.0,1.0,7.0,26.92851437538529,8.0,5.0,3.1326449107693275,1.0,3.0,4.0,1.026947131429948,2.0
0.0,1.0,6.0,28.905374009792727,1.0,9.0,3.3175623349654546,2.0,2.0,4.0,2.4278936805803384,1.0
1.0,0.0,6.0,33.97878479435132,9.0,6.0,4.163130799058553,3.0,3.0,3.0,2.5898174315452764,4.0
0.0,1.0,6.0,29.01923503402527,2.0,5.0,4.003205839004212,1.0,2.0,4.0,1.8704465566815016,4.0
0.0,1.0,10.0,21.319294392411287,9.0,9.0,1.2319294392411289,1.0,2.0,8.0,2.9481179347295954,0.0
0.0,1.0,7.0,33.449218187010786,2.0,5.0,4.064174026715826,1.0,3.0,4.0,0.7767428764790569,3.0
1.0,0.0,9.0,17.79937471438833,2.0,2.0,1.7554860793764808,3.0,2.0,6.0,1.5176333838119995,1.0
0.0,1.0,6.0,14.81101952057886,2.0,2.0,2.1351699200964767,2.0,3.0,3.0,1.463676113524218,1.0
0.0,1.0,9.0,34.77290468328317,3.0,3.0,3.5303227425870194,2.0,3.0,6.0,2.8196969269984966,4.0
1.0,0.0,10.0,26.70395742823901,9.0,2.0,1.7703957428239012,1.0,1.0,9.0,2.8332564408832743,3.0
0.0,1.0,4.0,27.12063301750132,3.0,9.0,4.53015825437533,1.0,2.0,2.0,2.444671830852874,0.0
0.0,1.0,8.0,28.488709619876,5.0,3.0,3.1860887024845,1.0,2.0,6.0,0.6153970826250927,2.0
0.0,1.0,8.0,39.91624175056557,9.0,7.0,4.114530218820696,1.0,3.0,5.0,1.6793801161696174,0.0
